;caseid;activity;start_timestamp;end_timestamp;SLA MIN;label;WIP
1124;Case30;A12;2017-07-05 12:16:00;2017-07-05 12:26:00;35.0;1;1
1122;Case30;A10;2017-07-05 12:18:00;2017-07-05 12:29:00;35.0;1;1
1136;Case30;A28;2017-07-05 12:19:00;2017-07-05 12:32:00;35.0;1;1
1128;Case30;A17;2017-07-05 12:20:00;2017-07-05 12:20:00;35.0;1;1
1131;Case30;A20;2017-07-05 12:21:00;2017-07-05 12:21:00;35.0;1;1
1126;Case30;A15;2017-07-05 12:21:00;2017-07-05 12:33:00;35.0;1;1
1137;Case30;A29;2017-07-05 12:25:00;2017-07-05 12:45:00;35.0;1;1
1129;Case30;A18;2017-07-05 12:25:00;2017-07-05 12:30:00;35.0;1;1
1123;Case30;A11;2017-07-05 12:30:00;2017-07-05 12:40:00;35.0;1;1
1119;Case30;A7;2017-07-05 12:30:00;2017-07-05 12:30:00;35.0;1;1
1132;Case30;A21;2017-07-05 12:31:00;2017-07-05 12:36:00;35.0;1;1
1127;Case30;A16;2017-07-05 12:35:00;2017-07-05 12:35:00;35.0;1;1
1130;Case30;A19;2017-07-05 12:36:00;2017-07-05 12:36:00;35.0;1;1
1135;Case30;A27;2017-07-05 12:36:00;2017-07-05 12:41:00;35.0;1;1
1133;Case30;A22;2017-07-05 12:37:00;2017-07-05 12:37:00;35.0;1;1
1121;Case30;A9;2017-07-05 12:41:00;2017-07-05 12:41:00;35.0;1;1
1138;Case30;A30;2017-07-05 12:44:00;2017-07-05 12:47:00;35.0;1;1
1117;Case30;A5;2017-07-05 12:51:00;2017-07-05 12:51:00;35.0;1;1
1114;Case30;A2;2017-07-05 12:52:00;2017-07-05 12:52:00;35.0;1;1
1140;Case30;A32;2017-07-05 12:52:00;2017-07-05 12:52:00;35.0;1;1
1141;Case31;A0;2017-07-05 13:07:00;2017-07-05 13:09:00;;0;1
1142;Case31;A1;2017-07-05 13:16:00;2017-07-05 13:16:00;;0;1
1144;Case31;A3;2017-07-05 13:16:00;2017-07-05 13:18:00;;0;1
1145;Case31;A33;2017-07-05 13:17:00;2017-07-05 13:17:00;;0;1
1147;Case31;A35;2017-07-05 13:17:00;2017-07-05 13:17:00;;0;1
1175;Case31;A23;2017-07-05 13:17:00;2017-07-05 13:17:00;;0;1
1176;Case31;A24;2017-07-05 13:18:00;2017-07-05 13:20:00;;0;1
1181;Case31;A26;2017-07-05 13:18:00;2017-07-05 13:23:00;;0;1
1155;Case31;A46;2017-07-05 13:19:00;2017-07-05 13:19:00;;0;1
1151;Case31;A44;2017-07-05 13:19:00;2017-07-05 13:19:00;;0;1
1161;Case31;A10;2017-07-05 13:21:00;2017-07-05 13:28:00;;0;1
1177;Case31;A25;2017-07-05 13:21:00;2017-07-05 13:21:00;;0;1
1149;Case31;A4;2017-07-05 13:26:00;2017-07-05 13:26:00;;0;1
1167;Case31;A14;2017-07-05 13:26:00;2017-07-05 13:26:00;;0;1
1162;Case31;A11;2017-07-05 13:27:00;2017-07-05 14:36:00;;0;1
1154;Case31;A7;2017-07-05 13:28:00;2017-07-05 13:28:00;;0;1
1168;Case31;A15;2017-07-05 13:28:00;2017-07-05 13:33:00;;0;1
1163;Case31;A12;2017-07-05 13:29:00;2017-07-05 13:31:00;;0;1
1157;Case31;A8;2017-07-05 13:31:00;2017-07-05 13:31:00;;0;1
1153;Case31;A6;2017-07-05 13:31:00;2017-07-05 13:31:00;;0;1
1158;Case31;A9;2017-07-05 13:33:00;2017-07-05 13:33:00;;0;1
1156;Case31;A47;2017-07-05 13:33:00;2017-07-05 13:33:00;;0;1
1165;Case31;A37;2017-07-05 13:39:00;2017-07-05 13:45:00;;0;1
1172;Case31;A20;2017-07-05 13:45:00;2017-07-05 13:45:00;;0;1
1166;Case31;A38;2017-07-05 13:46:00;2017-07-05 13:46:00;;0;1
1173;Case31;A21;2017-07-05 13:46:00;2017-07-05 13:59:00;;0;1
1159;Case31;A48;2017-07-05 13:52:00;2017-07-05 13:52:00;;0;1
1169;Case31;A17;2017-07-05 13:54:00;2017-07-05 13:54:00;;0;1
1170;Case31;A18;2017-07-05 13:58:00;2017-07-05 14:17:00;;0;1
1174;Case31;A22;2017-07-05 14:01:00;2017-07-05 14:01:00;;0;1
1178;Case31;A41;2017-07-05 14:12:00;2017-07-05 14:12:00;;0;1
1179;Case31;A42;2017-07-05 14:13:00;2017-07-05 14:13:00;;0;1
1180;Case31;A43;2017-07-05 14:13:00;2017-07-05 14:13:00;;0;1
1171;Case31;A19;2017-07-05 14:24:00;2017-07-05 14:24:00;;0;1
1164;Case31;A13;2017-07-05 14:35:00;2017-07-05 14:52:00;;0;1
1182;Case31;A27;2017-07-05 14:38:00;2017-07-05 14:48:00;;0;1
1183;Case31;A29;2017-07-05 14:39:00;2017-07-05 14:42:00;;0;1
1185;Case31;A31;2017-07-05 14:39:00;2017-07-05 14:39:00;;0;1
1184;Case31;A30;2017-07-05 14:45:00;2017-07-05 14:55:00;;0;1
1160;Case31;A49;2017-07-05 14:47:00;2017-07-05 14:47:00;;0;1
1152;Case31;A45;2017-07-05 14:52:00;2017-07-05 14:52:00;;0;1
1150;Case31;A5;2017-07-05 14:53:00;2017-07-05 14:53:00;;0;1
1148;Case31;A36;2017-07-05 14:53:00;2017-07-05 14:53:00;;0;1
1146;Case31;A34;2017-07-05 14:53:00;2017-07-05 14:53:00;;0;1
1186;Case31;A32;2017-07-05 14:56:00;2017-07-05 14:56:00;;0;1
1143;Case31;A2;2017-07-05 14:56:00;2017-07-05 14:56:00;;0;1
1097;Case29;A50;2017-07-11 10:18:00;2017-07-11 10:18:00;;0;1
1084;Case29;A0;2017-07-11 10:25:00;2017-07-11 10:26:00;;0;1
1085;Case29;A1;2017-07-11 10:30:00;2017-07-11 10:30:00;;0;1
1088;Case29;A4;2017-07-11 10:30:00;2017-07-11 10:30:00;;0;1
1090;Case29;A6;2017-07-11 10:30:00;2017-07-11 10:30:00;;0;1
1087;Case29;A3;2017-07-11 10:31:00;2017-07-11 10:32:00;;0;1
1096;Case29;A12;2017-07-11 10:31:00;2017-07-11 10:38:00;;0;1
1106;Case29;A26;2017-07-11 10:32:00;2017-07-11 10:37:00;;0;1
1094;Case29;A10;2017-07-11 10:32:00;2017-07-11 10:40:00;;0;1
1100;Case29;A17;2017-07-11 10:34:00;2017-07-11 10:34:00;;0;1
1101;Case29;A18;2017-07-11 10:38:00;2017-07-11 10:45:00;;0;1
1098;Case29;A37;2017-07-11 10:38:00;2017-07-11 10:43:00;;0;1
1092;Case29;A8;2017-07-11 10:40:00;2017-07-11 10:40:00;;0;1
1108;Case29;A29;2017-07-11 10:40:00;2017-07-11 10:43:00;;0;1
1091;Case29;A7;2017-07-11 10:40:00;2017-07-11 10:40:00;;0;1
1103;Case29;A20;2017-07-11 10:41:00;2017-07-11 10:41:00;;0;1
1104;Case29;A21;2017-07-11 10:42:00;2017-07-11 10:45:00;;0;1
1099;Case29;A38;2017-07-11 10:45:00;2017-07-11 10:45:00;;0;1
1105;Case29;A22;2017-07-11 10:46:00;2017-07-11 10:46:00;;0;1
1095;Case29;A11;2017-07-11 10:47:00;2017-07-11 11:02:00;;0;1
1102;Case29;A19;2017-07-11 10:49:00;2017-07-11 10:49:00;;0;1
1107;Case29;A27;2017-07-11 10:51:00;2017-07-11 11:00:00;;0;1
1110;Case29;A31;2017-07-11 10:55:00;2017-07-11 10:55:00;;0;1
1109;Case29;A30;2017-07-11 10:56:00;2017-07-11 11:04:00;;0;1
1093;Case29;A9;2017-07-11 11:02:00;2017-07-11 11:02:00;;0;1
1089;Case29;A5;2017-07-11 11:02:00;2017-07-11 11:02:00;;0;1
1011;Case27;A6;2017-07-11 11:02:00;2017-07-11 11:02:00;;0;2
1086;Case29;A2;2017-07-11 11:05:00;2017-07-11 10:05:00;;0;2
1111;Case29;A32;2017-07-11 11:05:00;2017-07-11 11:05:00;;0;1
1007;Case27;A4;2017-07-11 11:08:00;2017-07-11 11:08:00;;0;1
1013;Case27;A46;2017-07-11 11:09:00;2017-07-11 11:09:00;;0;1
1002;Case27;A3;2017-07-11 11:12:00;2017-07-11 11:15:00;;0;1
1000;Case27;A1;2017-07-11 11:12:00;2017-07-11 11:12:00;;0;1
1003;Case27;A33;2017-07-11 11:13:00;2017-07-11 11:13:00;;0;1
1023;Case27;A14;2017-07-11 11:13:00;2017-07-11 11:13:00;;0;1
1038;Case27;A26;2017-07-11 11:14:00;2017-07-11 11:19:00;;0;1
1019;Case27;A10;2017-07-11 11:15:00;2017-07-11 11:27:00;;0;1
1005;Case27;A35;2017-07-11 11:15:00;2017-07-11 11:15:00;;0;1
1009;Case27;A44;2017-07-11 11:15:00;2017-07-11 11:15:00;;0;1
1026;Case27;A17;2017-07-11 11:17:00;2017-07-11 11:17:00;;0;1
1024;Case27;A15;2017-07-11 11:20:00;2017-07-11 11:33:00;;0;1
1029;Case27;A20;2017-07-11 11:21:00;2017-07-11 11:21:00;;0;1
1027;Case27;A18;2017-07-11 11:21:00;2017-07-11 11:48:00;;0;1
1030;Case27;A21;2017-07-11 11:22:00;2017-07-11 11:30:00;;0;1
1032;Case27;A23;2017-07-11 11:26:00;2017-07-11 11:26:00;;0;1
1033;Case27;A24;2017-07-11 11:27:00;2017-07-11 11:29:00;;0;1
1012;Case27;A7;2017-07-11 11:28:00;2017-07-11 11:28:00;;0;1
1034;Case27;A25;2017-07-11 11:29:00;2017-07-11 11:29:00;;0;1
1031;Case27;A22;2017-07-11 11:31:00;2017-07-11 11:31:00;;0;1
1025;Case27;A16;2017-07-11 11:35:00;2017-07-11 11:35:00;;0;1
1021;Case27;A12;2017-07-11 11:36:00;2017-07-11 11:40:00;;0;1
1010;Case27;A45;2017-07-11 11:39:00;2017-07-11 11:39:00;;0;1
1014;Case27;A47;2017-07-11 11:40:00;2017-07-11 11:40:00;;0;1
1015;Case27;A8;2017-07-11 11:42:00;2017-07-11 11:42:00;;0;1
1020;Case27;A11;2017-07-11 11:43:00;2017-07-11 12:09:00;;0;1
1040;Case27;A29;2017-07-11 11:43:00;2017-07-11 11:49:00;;0;1
1017;Case27;A48;2017-07-11 11:47:00;2017-07-11 11:47:00;;0;1
1022;Case27;A13;2017-07-11 11:48:00;2017-07-11 12:08:00;;0;1
1028;Case27;A19;2017-07-11 11:51:00;2017-07-11 11:51:00;;0;1
1042;Case27;A31;2017-07-11 11:58:00;2017-07-11 11:58:00;;0;1
1039;Case27;A27;2017-07-11 11:59:00;2017-07-11 12:07:00;;0;1
1035;Case27;A41;2017-07-11 12:01:00;2017-07-11 12:01:00;;0;1
1036;Case27;A42;2017-07-11 12:02:00;2017-07-11 12:03:00;;0;1
1037;Case27;A43;2017-07-11 12:03:00;2017-07-11 12:03:00;;0;1
1041;Case27;A30;2017-07-11 12:09:00;2017-07-11 12:18:00;;0;1
1016;Case27;A9;2017-07-11 12:10:00;2017-07-11 12:10:00;;0;1
1004;Case27;A34;2017-07-11 12:14:00;2017-07-11 12:14:00;;0;1
1008;Case27;A5;2017-07-11 12:16:00;2017-07-11 12:16:00;;0;1
1006;Case27;A36;2017-07-11 12:20:00;2017-07-11 12:20:00;;0;1
1018;Case27;A49;2017-07-11 12:20:00;2017-07-11 12:20:00;;0;1
1043;Case27;A32;2017-07-11 12:21:00;2017-07-11 12:21:00;;0;1
1001;Case27;A2;2017-07-11 12:21:00;2017-07-11 12:21:00;;0;1
1249;Case34;A0;2017-07-11 14:16:00;2017-07-11 14:18:00;35.0;1;1
1261;Case34;A8;2017-07-11 14:17:00;2017-07-11 14:17:00;35.0;1;1
1250;Case34;A1;2017-07-11 14:21:00;2017-07-11 14:21:00;35.0;1;1
1259;Case34;A6;2017-07-11 14:21:00;2017-07-11 14:21:00;35.0;1;1
1252;Case34;A3;2017-07-11 14:21:00;2017-07-11 14:25:00;35.0;1;1
1257;Case34;A4;2017-07-11 14:22:00;2017-07-11 14:22:00;35.0;1;1
1253;Case34;A33;2017-07-11 14:22:00;2017-07-11 14:22:00;35.0;1;1
1274;Case34;A20;2017-07-11 14:22:00;2017-07-11 14:22:00;35.0;1;1
1283;Case34;A26;2017-07-11 14:23:00;2017-07-11 14:27:00;35.0;1;1
1263;Case34;A10;2017-07-11 14:26:00;2017-07-11 14:34:00;35.0;1;1
1265;Case34;A12;2017-07-11 14:26:00;2017-07-11 14:34:00;35.0;1;1
1275;Case34;A21;2017-07-11 14:27:00;2017-07-11 14:38:00;35.0;1;1
1269;Case34;A14;2017-07-11 14:28:00;2017-07-11 14:28:00;35.0;1;1
1270;Case34;A15;2017-07-11 14:32:00;2017-07-11 14:35:00;35.0;1;1
1271;Case34;A17;2017-07-11 14:32:00;2017-07-11 14:32:00;35.0;1;1
1280;Case34;A41;2017-07-11 14:32:00;2017-07-11 14:32:00;35.0;1;1
1281;Case34;A42;2017-07-11 14:32:00;2017-07-11 14:34:00;35.0;1;1
1255;Case34;A35;2017-07-11 14:33:00;2017-07-11 14:33:00;35.0;1;1
1285;Case34;A29;2017-07-11 14:34:00;2017-07-11 14:39:00;35.0;1;1
1282;Case34;A43;2017-07-11 14:35:00;2017-07-11 14:35:00;35.0;1;1
1260;Case34;A7;2017-07-11 14:36:00;2017-07-11 14:36:00;35.0;1;1
1264;Case34;A11;2017-07-11 14:36:00;2017-07-11 14:51:00;35.0;1;1
1266;Case34;A13;2017-07-11 14:36:00;2017-07-11 14:52:00;35.0;1;1
1277;Case34;A23;2017-07-11 14:37:00;2017-07-11 14:37:00;35.0;1;1
1284;Case34;A27;2017-07-11 14:38:00;2017-07-11 14:44:00;35.0;1;1
1272;Case34;A18;2017-07-11 14:38:00;2017-07-11 14:45:00;35.0;1;1
1278;Case34;A24;2017-07-11 14:38:00;2017-07-11 14:40:00;35.0;1;1
1267;Case34;A37;2017-07-11 14:39:00;2017-07-11 14:42:00;35.0;1;1
1276;Case34;A22;2017-07-11 14:39:00;2017-07-11 14:39:00;35.0;1;1
1279;Case34;A25;2017-07-11 14:41:00;2017-07-11 14:41:00;35.0;1;1
1268;Case34;A38;2017-07-11 14:43:00;2017-07-11 14:43:00;35.0;1;1
1254;Case34;A34;2017-07-11 14:48:00;2017-07-11 14:48:00;35.0;1;1
1286;Case34;A30;2017-07-11 14:49:00;2017-07-11 14:54:00;35.0;1;1
1273;Case34;A19;2017-07-11 14:49:00;2017-07-11 14:49:00;35.0;1;1
1256;Case34;A36;2017-07-11 14:50:00;2017-07-11 14:50:00;35.0;1;1
1258;Case34;A5;2017-07-11 14:52:00;2017-07-11 14:52:00;35.0;1;1
1262;Case34;A9;2017-07-11 14:54:00;2017-07-11 14:54:00;35.0;1;1
1251;Case34;A2;2017-07-11 14:55:00;2017-07-11 14:55:00;35.0;1;1
1287;Case34;A32;2017-07-11 14:55:00;2017-07-11 14:55:00;35.0;1;1
1075;Case28;A41;2017-07-11 14:56:00;2017-07-11 14:56:00;;0;1
1044;Case28;A0;2017-07-11 14:56:00;2017-07-11 14:57:00;;0;1
1052;Case28;A4;2017-07-11 14:58:00;2017-07-11 14:58:00;;0;1
1054;Case28;A6;2017-07-11 14:59:00;2017-07-11 14:59:00;;0;1
1045;Case28;A1;2017-07-11 15:00:00;2017-07-11 15:00:00;;0;1
1047;Case28;A3;2017-07-11 15:00:00;2017-07-11 15:02:00;;0;1
1048;Case28;A33;2017-07-11 15:01:00;2017-07-11 15:01:00;;0;1
1076;Case28;A42;2017-07-11 15:01:00;2017-07-11 15:04:00;;0;1
1078;Case28;A26;2017-07-11 15:02:00;2017-07-11 15:06:00;;0;1
1069;Case28;A20;2017-07-11 15:02:00;2017-07-11 15:02:00;;0;1
1050;Case28;A35;2017-07-11 15:02:00;2017-07-11 15:02:00;;0;1
1066;Case28;A17;2017-07-11 15:03:00;2017-07-11 15:03:00;;0;1
1077;Case28;A43;2017-07-11 15:04:00;2017-07-11 15:04:00;;0;1
1058;Case28;A10;2017-07-11 15:05:00;2017-07-11 15:11:00;;0;1
1070;Case28;A21;2017-07-11 15:07:00;2017-07-11 15:19:00;;0;1
1060;Case28;A12;2017-07-11 15:07:00;2017-07-11 15:12:00;;0;1
1056;Case28;A8;2017-07-11 15:08:00;2017-07-11 15:08:00;;0;1
1062;Case28;A50;2017-07-11 15:08:00;2017-07-11 15:08:00;;0;1
1067;Case28;A18;2017-07-11 15:09:00;2017-07-11 15:26:00;;0;1
1063;Case28;A37;2017-07-11 15:10:00;2017-07-11 15:14:00;;0;1
1055;Case28;A7;2017-07-11 15:12:00;2017-07-11 15:12:00;;0;1
1061;Case28;A13;2017-07-11 15:13:00;2017-07-11 15:26:00;;0;1
1059;Case28;A11;2017-07-11 15:16:00;2017-07-11 15:33:00;;0;1
1064;Case28;A15;2017-07-11 15:18:00;2017-07-11 15:22:00;;0;1
1071;Case28;A22;2017-07-11 15:20:00;2017-07-11 15:20:00;;0;1
1080;Case28;A29;2017-07-11 15:22:00;2017-07-11 15:24:00;;0;1
1065;Case28;A16;2017-07-11 15:24:00;2017-07-11 15:24:00;;0;1
1068;Case28;A19;2017-07-11 15:29:00;2017-07-11 15:29:00;;0;1
1082;Case28;A31;2017-07-11 15:29:00;2017-07-11 15:29:00;;0;1
1079;Case28;A27;2017-07-11 15:30:00;2017-07-11 15:40:00;;0;1
1057;Case28;A9;2017-07-11 15:30:00;2017-07-11 15:30:00;;0;1
1081;Case28;A30;2017-07-11 15:31:00;2017-07-11 15:53:00;;0;1
1053;Case28;A5;2017-07-11 15:37:00;2017-07-11 15:37:00;;0;1
1049;Case28;A34;2017-07-11 15:41:00;2017-07-11 15:41:00;;0;1
1073;Case28;A24;2017-07-11 15:50:00;2017-07-11 15:53:00;;0;1
1072;Case28;A23;2017-07-11 15:50:00;2017-07-11 15:50:00;;0;1
1074;Case28;A25;2017-07-11 15:54:00;2017-07-11 15:54:00;;0;1
1051;Case28;A36;2017-07-11 16:09:00;2017-07-11 16:09:00;;0;1
1083;Case28;A32;2017-07-11 16:10:00;2017-07-11 16:10:00;;0;1
1046;Case28;A2;2017-07-11 16:10:00;2017-07-11 16:10:00;;0;1
4;Case00;A4;2017-07-12 11:43:00;2017-07-12 11:43:00;35.0;1;1
0;Case00;A0;2017-07-12 11:47:00;2017-07-12 11:48:00;35.0;1;1
8;Case00;A8;2017-07-12 11:49:00;2017-07-12 11:49:00;35.0;1;1
6;Case00;A6;2017-07-12 11:57:00;2017-07-12 11:57:00;35.0;1;1
3;Case00;A3;2017-07-12 11:57:00;2017-07-12 11:59:00;35.0;1;1
1;Case00;A1;2017-07-12 11:57:00;2017-07-12 11:57:00;35.0;1;1
17;Case00;A17;2017-07-12 11:57:00;2017-07-12 11:57:00;35.0;1;1
10;Case00;A10;2017-07-12 11:58:00;2017-07-12 12:07:00;35.0;1;1
12;Case00;A12;2017-07-12 11:58:00;2017-07-12 12:03:00;35.0;1;1
26;Case00;A26;2017-07-12 11:59:00;2017-07-12 12:05:00;35.0;1;1
18;Case00;A18;2017-07-12 12:00:00;2017-07-12 12:07:00;35.0;1;1
14;Case00;A14;2017-07-12 12:01:00;2017-07-12 12:01:00;35.0;1;1
20;Case00;A20;2017-07-12 12:04:00;2017-07-12 12:04:00;35.0;1;1
15;Case00;A15;2017-07-12 12:06:00;2017-07-12 12:07:00;35.0;1;1
21;Case00;A21;2017-07-12 12:06:00;2017-07-12 12:11:00;35.0;1;1
31;Case00;A31;2017-07-12 12:06:00;2017-07-12 12:06:00;35.0;1;1
7;Case00;A7;2017-07-12 12:07:00;2017-07-12 12:07:00;35.0;1;1
16;Case00;A16;2017-07-12 12:09:00;2017-07-12 12:09:00;35.0;1;1
19;Case00;A19;2017-07-12 12:10:00;2017-07-12 12:10:00;35.0;1;1
29;Case00;A29;2017-07-12 12:10:00;2017-07-12 12:10:00;35.0;1;1
30;Case00;A30;2017-07-12 12:11:00;2017-07-12 12:30:00;35.0;1;1
22;Case00;A22;2017-07-12 12:12:00;2017-07-12 12:12:00;35.0;1;1
11;Case00;A11;2017-07-12 12:13:00;2017-07-12 12:24:00;35.0;1;1
28;Case00;A28;2017-07-12 12:15:00;2017-07-12 12:17:00;35.0;1;1
27;Case00;A27;2017-07-12 12:15:00;2017-07-12 12:27:00;35.0;1;1
13;Case00;A13;2017-07-12 12:20:00;2017-07-12 12:26:00;35.0;1;1
23;Case00;A23;2017-07-12 12:21:00;2017-07-12 12:21:00;35.0;1;1
24;Case00;A24;2017-07-12 12:22:00;2017-07-12 12:22:00;35.0;1;1
25;Case00;A25;2017-07-12 12:23:00;2017-07-12 12:23:00;35.0;1;1
5;Case00;A5;2017-07-12 12:30:00;2017-07-12 12:30:00;35.0;1;1
2;Case00;A2;2017-07-12 12:34:00;2017-07-12 12:34:00;35.0;1;1
32;Case00;A32;2017-07-12 12:34:00;2017-07-12 12:34:00;35.0;1;1
9;Case00;A9;2017-07-12 12:39:00;2017-07-12 12:39:00;35.0;1;1
33;Case01;A0;2017-07-12 14:21:00;2017-07-12 14:22:00;60.0;1;1
36;Case01;A3;2017-07-12 14:26:00;2017-07-12 14:29:00;60.0;1;1
34;Case01;A1;2017-07-12 14:26:00;2017-07-12 14:26:00;60.0;1;1
37;Case01;A33;2017-07-12 14:26:00;2017-07-12 14:26:00;60.0;1;1
43;Case01;A6;2017-07-12 14:26:00;2017-07-12 14:26:00;60.0;1;1
41;Case01;A4;2017-07-12 14:26:00;2017-07-12 14:26:00;60.0;1;1
47;Case01;A10;2017-07-12 14:29:00;2017-07-12 14:37:00;60.0;1;1
